wilaya_name,commune_name,zone
AIN-TEMOUCHENT,BOUZEDJAR,IIA
AIN-TEMOUCHENT,CHAABET EL HAM,IIA
AIN-TEMOUCHENT,CHENTOUF,IIA
AIN-TEMOUCHENT,EL AMRIA,IIA
AIN-TEMOUCHENT,EL EMIR ABDELKADER,IIA
AIN-TEMOUCHENT,EL M'SAID,IIA
AIN-TEMOUCHENT,EL MALAH,IIA
AIN-TEMOUCHENT,HAMMAM BOUHADJAR,IIA
AIN-TEMOUCHENT,HASSASNA,IIA
AIN-TEMOUCHENT,HASSI EL GHELLA,IIA
AIN-TEMOUCHENT,OUED BERKECHE,IIA
AIN-TEMOUCHENT,OUED SEBBAH,IIA
AIN-TEMOUCHENT,OUGBELLIL,IIA
AIN-TEMOUCHENT,OULED BOUDJEMAA,IIA
AIN-TEMOUCHENT,OULED KIHAL,IIA
AIN-TEMOUCHENT,OULHACA GHERRABA,IIA
AIN-TEMOUCHENT,SIDI BEN ADDA,IIA
AIN-TEMOUCHENT,SIDI BOUMEDIENE,IIA
AIN-TEMOUCHENT,SIDI SAFI,IIA
AIN-TEMOUCHENT,TADMAYA,IIA
AIN-TEMOUCHENT,TAMZOUGHA,IIA
AIN-TEMOUCHENT,TERGA,IIA
ALGER,AIN BENIAN,III
ALGER,AIN TAYA,III
ALGER,ALGER,III
ALGER,BAB EL OUED,III
ALGER,BABA HASSEN,III
ALGER,BACH DJERRAH,III
ALGER,BAINS ROMAINS,III
ALGER,BARAKI,III
ALGER,BAB EZZOUAR,III
ALGER,BEN AKNOUN,III
ALGER,BENI MESSOUS,III
ALGER,BIR KHADEM,III
ALGER,BIR MOURAD RAIS,III
ALGER,BIRTOUTA,III
ALGER,BOLOGHINE IBN ZIRI,III
ALGER,BORDJ EL BAHRI,III
ALGER,BORDJ EL KIFFAN,III
ALGER,BOUROUBA,III
ALGER,BOUZAREAH,III
ALGER,CASBAH,III
ALGER,CHERAGA,III
ALGER,DAR EL BEIDA,III
ALGER,DELY BRAHIM,III
ALGER,DJISR KSENTINA,III
ALGER,DOUERA,III
ALGER,DRARIA,III
ALGER,EL ACHOUR,III
ALGER,EL BIAR,III
ALGER,EL HARRACH,III
ALGER,EL MADANIA,III
ALGER,EL MAGHARIA,III
ALGER,EL MARSA,III
ALGER,EL MOURADIA,III
ALGER,HAMMA ANASSERS,III
ALGER,HARAOUA,III
ALGER,HUSSEIN DEY,III
ALGER,HYDRA,III
ALGER,KHRAISSIA,III
ALGER,KOUBA,III
ALGER,LES EUCALYPTUS,III
ALGER,MAHELMA,III
ALGER,MOHAMMADIA,III
ALGER,OUED KORICHE,III
ALGER,OUED SMAR,III
ALGER,OULED CHEBEL,III
ALGER,OULED FAYET,III
ALGER,RAHMANIA,III
ALGER,RAIS HAMIDOU,III
ALGER,REGHAIA,III
ALGER,ROUIBA,III
ALGER,SAOULA,III
ALGER,SIDI M'HAMED,III
ALGER,SIDI MOUSSA,III
ALGER,SOUIDANIA,III
ALGER,STAOUELI,III
ALGER,TASSALA EL MERDJA,III
ALGER,ZERALDA,III
ANNABA,AIN BERDA,IIA
ANNABA,ANNABA,IIA
ANNABA,BERRAHEL,IIA
ANNABA,CHETAIBI,IIA
ANNABA,CHEURFA,IIA
ANNABA,EL BOUNI,IIA
ANNABA,EL HADJAR,IIA
ANNABA,EULMA,IIA
ANNABA,OUED EL ANEB,IIA
ANNABA,SERAIDI,IIA
ANNABA,SIDI AMER,IIA
ANNABA,TREAT,IIA
BATNA,AIN DJASSER,I
BATNA,AIN TOUTA,I
BATNA,AIN YAGOUT,I
BATNA,ARRIS,I
BATNA,BARIKA,I
BATNA,BATNA,I
BATNA,BENI FOUDHALA EL HAKANIA,I
BATNA,BITAM,I
BATNA,BOULEHILET,I
BATNA,BOUMAGUER,I
BATNA,BOUMIA,I
BATNA,BOUZINA,I
BATNA,CHEMORA,I
BATNA,CHIR,I
BATNA,DJERMA,I
BATNA,DJEZZAR,I
BATNA,EL HASSI,I
BATNA,EL MADHER,I
BATNA,FESDIS,I
BATNA,FOUM TOUB,I
BATNA,GHASSIRA,I
BATNA,GOSBAT,I
BATNA,GUIGBA,I
BATNA,HIDOUSSA,I
BATNA,ICHEMOUL,I
BATNA,INOUGHISSENE,I
BATNA,KIMMEL,I
BATNA,KSAR BELEZMA,I
BATNA,LARBAA,I
BATNA,LAZROU,I
BATNA,LEMCEN,I
BATNA,M'DOUKAL,I
BATNA,MAAFA,I
BATNA,MENAA,I
BATNA,MEROUANA,I
BATNA,METKAOUAK,I
BATNA,N'GAOUS,I
BATNA,OUED CHAABA,I
BATNA,OUED EL MA,I
BATNA,OUED TAGA,I
BATNA,OULED AMMAR,I
BATNA,OULED AOUF,I
BATNA,OULED FADEL,I
BATNA,OULED SELLAM,I
BATNA,OULED SI SLIMANE,I
BATNA,OUYOUN EL ASSAFIR,I
BATNA,RAHBAT,I
BATNA,RAS EL AIOUN,I
BATNA,SEFIANE,I
BATNA,SEGGANA,I
BATNA,SERIANA,I
BATNA,T'KOUT,I
BATNA,TALKHEMT,I
BATNA,TAXLENT,I
BATNA,TAZOULT,I
BATNA,THENIET EL ABED,I
BATNA,TIGHANIMINE,I
BATNA,TIGHARGHAR,I
BATNA,TILATOU,I
BATNA,TIMGAD,I
BATNA,ZANA EL BEIDA,I
BECHAR,ABADLA,0
BECHAR,BECHAR,0
BECHAR,BENI ABBES,0
BECHAR,BENI IKHLEF,0
BECHAR,BENI OUNIF,0
BECHAR,BOUKAIS,0
BECHAR,EL OUATA,0
BECHAR,ERG FERRADJ,0
BECHAR,IGLI,0
BECHAR,KENADSA,0
BECHAR,KERZAZ,0
BECHAR,KSABI,0
BECHAR,LAHMAR,0
BECHAR,MECHRAA HOUARI BOUMEDIENE,0
BECHAR,MERIDJA,0
BECHAR,MOUGHEUL,0
BECHAR,OULED KHOUDIR,0
BECHAR,TABELBALA,0
BECHAR,TAGHIT,0
BECHAR,TAMERT,0
BECHAR,TIMMOUDI,0
BEJAIA,ADEKAR,IIA
BEJAIA,AIT R'ZINE,IIA
BEJAIA,AIT SMAIL,IIA
BEJAIA,AKBOU,IIA
BEJAIA,AKFADOU,IIA
BEJAIA,AMALOU,IIA
BEJAIA,AMIZOUR,IIA
BEJAIA,AOKAS,IIA
BEJAIA,BARBACHA,IIA
BEJAIA,BEJAIA,IIA
BEJAIA,BENI DJELLIL,IIA
BEJAIA,BENI KSILA,IIA
BEJAIA,BENI MAOUCHE,IIA
BEJAIA,BENI MELIKECH,IIA
BEJAIA,BOUDJELLIL,IIA
BEJAIA,BOUHAMZA,IIA
BEJAIA,BOUKHELIFA,IIA
BEJAIA,CHELATA,IIA
BEJAIA,CHEMINI,IIA
BEJAIA,DARGUINA,IIA
BEJAIA,DRAA EL KAID,IIA
BEJAIA,EL KSEUR,IIA
BEJAIA,FERRAOUN,IIA
BEJAIA,IFELAIN ILMATHEN,IIA
BEJAIA,IGHIL ALI,IIA
BEJAIA,IGHRAM,IIA
BEJAIA,KENDIRA,IIA
BEJAIA,KHERRATA,IIA
BEJAIA,LEFLAYE,IIA
BEJAIA,MELBOU,IIA
BEJAIA,OUED GHIR,IIA
BEJAIA,OUZELLAGUEN,IIA
BEJAIA,SEDDOUK,IIA
BEJAIA,SEMAOUNE,IIA
BEJAIA,SIDI AICH,IIA
BEJAIA,SIDI AYAD,IIA
BEJAIA,SIDI SAID,IIA
BEJAIA,SOUK EL THENINE,IIA
BEJAIA,SOUK OUFELLA,IIA
BEJAIA,TALA HAMZA,IIA
BEJAIA,TAMOKRA,IIA
BEJAIA,TAMRIDJET,IIA
BEJAIA,TAOURIRT IGHIL,IIA
BEJAIA,TASKRIOUT,IIA
BEJAIA,TAZMALT,IIA
BEJAIA,TIBANE,IIA
BEJAIA,TICHI,IIA
BEJAIA,TIFRA,IIA
BEJAIA,TIMZRIT,IIA
BEJAIA,TINEBDAR,IIA
BEJAIA,TIZI N'BERBER,IIA
BEJAIA,TOUDJA,IIA
BISKRA,AIN NAGA,I
BISKRA,AIN ZAATOUT,I
BISKRA,BESBES,I
BISKRA,BISKRA,I
BISKRA,BORDJ BEN AZZOUZ,I
BISKRA,BOUCHAGROUN,I
BISKRA,BRANIS,I
BISKRA,CHETMA,I
BISKRA,DJEMORAH,I
BISKRA,DOUCEN,I
BISKRA,ECH CHAIBA,I
BISKRA,EL FEIDH,I
BISKRA,EL GHROUS,I
BISKRA,EL HADJEB,I
BISKRA,EL HAOUCH,I
BISKRA,EL KANTARA,I
BISKRA,EL OUTAYA,I
BISKRA,FOUGHALA,I
BISKRA,KHANGAT SIDI NADJI,I
BISKRA,LICHANA,I
BISKRA,LIOUA,I
BISKRA,M'CHOUNECHE,I
BISKRA,M'ZIRAA,I
BISKRA,MEKHADMA,I
BISKRA,MLILI,I
BISKRA,OUGHLAL,I
BISKRA,OULED DJELLAL,I
BISKRA,OUMACHE,I
BISKRA,RAS EL MIAAD,I
BISKRA,SIDI KHALED,I
BISKRA,SIDI OKBA,I
BISKRA,TOLGA,I
BISKRA,ZERIBET EL OUED,I
BLIDA,AIN ROMANA,IIB
BLIDA,BEN KHELIL,III
BLIDA,BENI MERED,III
BLIDA,BENI TAMOU,III
BLIDA,BLIDA,III
BLIDA,BOUARFA,III
BLIDA,BOUFARIK,III
BLIDA,BOUGARA,IIB
BLIDA,BOUINAN,III
BLIDA,CHEBLI,III
BLIDA,CHIFFA,III
BLIDA,CHREA,III
BLIDA,DJEBABRA,IIB
BLIDA,EL AFFROUN,III
BLIDA,GUERROUAOU,III
BLIDA,HAMMAM MELOUANE,IIB
BLIDA,LARBAA,IIB
BLIDA,MEFTAH,IIB
BLIDA,MOUZAIA,III
BLIDA,OUED DJER,III
BLIDA,OUED EL ALLEUG,III
BLIDA,OULED SLAMA,IIB
BLIDA,OULED YAICH,III
BLIDA,SOUHANE,IIB
BLIDA,SOUMAA,III
BORDJ BOU ARRER,AIN TAGHROUT,IIA
BORDJ BOU ARRER,AIN TASSERA,IIA
BORDJ BOU ARRER,BELIMOUR,IIA
BORDJ BOU ARRER,BENDAOUD,IIA
BORDJ BOU ARRER,BIR KASDALI,IIA
BORDJ BOU ARRER,BORDJ BOU ARRERIDJ,IIA
BORDJ BOU ARRER,BORDJ GHDIR,IIA
BORDJ BOU ARRER,BORDJ ZEMOURA,IIA
BORDJ BOU ARRER,COLLA,IIA
BORDJ BOU ARRER,DJAAFRA,IIA
BORDJ BOU ARRER,EL ACHIR,IIA
BORDJ BOU ARRER,EL ANSEUR,IIA
BORDJ BOU ARRER,EL EUCH,IIA
BORDJ BOU ARRER,EL HAMMADIA,IIA
BORDJ BOU ARRER,EL M'HIR,IIA
BORDJ BOU ARRER,EL MAIN,IIA
BORDJ BOU ARRER,GHILASSA,IIA
BORDJ BOU ARRER,HARAZA,IIA
BORDJ BOU ARRER,HASNAOUA,IIA
BORDJ BOU ARRER,KHELIL,IIA
BORDJ BOU ARRER,KSOUR,IIA
BORDJ BOU ARRER,MANSOURA,IIA
BORDJ BOU ARRER,MEDJANA,IIA
BORDJ BOU ARRER,OULED BRAHEM,IIA
BORDJ BOU ARRER,OULED DAHMANE,IIA
BORDJ BOU ARRER,OULED SIDI BRAHIM,IIA
BORDJ BOU ARRER,RABTA,IIA
BORDJ BOU ARRER,RAS EL OUED,IIA
BORDJ BOU ARRER,SIDI EMBAREK,IIA
BORDJ BOU ARRER,TAFREG,IIA
BORDJ BOU ARRER,TAGLAIT,IIA
BORDJ BOU ARRER,TESMART,IIA
BORDJ BOU ARRER,THENIET EL ANSEUR,IIA
BORDJ BOU ARRER,TIXTER,IIA
BOUIRA,AGHBALOU,IIA
BOUIRA,AHL EL KSAR,IIA
BOUIRA,AIN BESSAM,IIA
BOUIRA,AIN EL HADJAR,IIA
BOUIRA,AIN LALOUI,IIA
BOUIRA,AIN TURK,IIA
BOUIRA,AIT LAAZIZ,IIA
BOUIRA,AOMAR,IIA
BOUIRA,ATH MANSOUR,IIA
BOUIRA,BECHLOUL,IIA
BOUIRA,BIR GHBALOU,IIA
BOUIRA,BORDJ OUKHRISS,IIA
BOUIRA,BOUDERBALA,IIA
BOUIRA,BOUIRA,IIA
BOUIRA,BOUKRAM,IIA
BOUIRA,CHORFA,IIA
BOUIRA,DECHMIA,IIA
BOUIRA,DIRAH,IIA
BOUIRA,DJEBAHIA,IIA
BOUIRA,EL ADJIBA,IIA
BOUIRA,EL ASNAM,IIA
BOUIRA,EL HACHIMIA,IIA
BOUIRA,EL HAKIMIA,IIA
BOUIRA,EL KHABOUZIA,IIA
BOUIRA,EL MOKRANI,IIA
BOUIRA,GUERROUMA,IIA
BOUIRA,HADJERA ZERGA,IIA
BOUIRA,HAIZER,IIA
BOUIRA,HANIF,IIA
BOUIRA,KADIRIA,IIA
BOUIRA,LAKHDARIA,IIA
BOUIRA,M'CHEDALLAH,IIA
BOUIRA,MAALA,IIA
BOUIRA,MAAMORA,IIA
BOUIRA,MEZDOUR,IIA
BOUIRA,OUED EL BERDI,IIA
BOUIRA,OULED RACHED,IIA
BOUIRA,RAOURAOUA,IIA
BOUIRA,RIDANE,IIA
BOUIRA,SAHARIDJ,IIA
BOUIRA,SOUK EL KHEMIS,IIA
BOUIRA,SOUR EL GHOZLANE,IIA
BOUIRA,TAGHZOUT,IIA
BOUIRA,TAGUEDIT,IIA
BOUIRA,ZBARBAR,IIA
BOUMERDES,AFIR,IIB
BOUMERDES,AMMAL,IIA
BOUMERDES,BAGHLIA,IIB
BOUMERDES,BEN CHOUD,IIB
BOUMERDES,BENI AMRANE,IIB
BOUMERDES,BORDJ MENAIEL,IIB
BOUMERDES,BOUDOUAOU,III
BOUMERDES,BOUDOUAOU EL BAHRI,III
BOUMERDES,BOUMERDES,III
BOUMERDES,BOUZEGZA KEDDARA,IIB
BOUMERDES,CHABET EL AMEUR,IIA
BOUMERDES,CORSO,III
BOUMERDES,DELLYS,III
BOUMERDES,DJINET,III
BOUMERDES,EL KHARROUBA,IIB
BOUMERDES,HAMMEDI,IIB
BOUMERDES,ISSER,IIB
BOUMERDES,KHEMIS EL KHECHNA,IIB
BOUMERDES,LAGHATA,III
BOUMERDES,LARBATACHE,IIB
BOUMERDES,NACIRIA,IIB
BOUMERDES,OULED AISSA,IIB
BOUMERDES,OULED HADJADJ,III
BOUMERDES,OULED MOUSSA,IIB
BOUMERDES,SI MUSTAPHA,III
BOUMERDES,SIDI DAOUD,III
BOUMERDES,SOUK EL HAD,IIB
BOUMERDES,TAOURGA,IIB
BOUMERDES,THENIA,III
BOUMERDES,TIDJELABINE,III
BOUMERDES,TIMEZRIT,IIA
BOUMERDES,ZEMMOURI,III
CHLEF,ABOU EL HASSEN,III
CHLEF,AIN MERANE,III
CHLEF,BENAIRIA,III
CHLEF,BENI BOUATTAB,III
CHLEF,BENI HAOUA,III
CHLEF,BENI RACHED,III
CHLEF,BOUKADIR,IIB
CHLEF,BOUZEGHAIA,III
CHLEF,BREIRA,III
CHLEF,CHETTIA,III
CHLEF,CHLEF,III
CHLEF,DAHRA,III
CHLEF,EL HADJADJ,III
CHLEF,EL KARIMIA,IIB
CHLEF,EL MARSA,III
CHLEF,HARCHOUN,IIB
CHLEF,HERENFA,III
CHLEF,LABIODH MEDJADJA,III
CHLEF,MOUSSADEK,III
CHLEF,OUED FODDA,III
CHLEF,OUED GHOUSSINE,III
CHLEF,OUED SLY,IIB
CHLEF,OULED ABBES,III
CHLEF,OULED BEN ABDELKADER,IIA
CHLEF,OULED FARES,III
CHLEF,OUM DROU,III
CHLEF,SENDJAS,IIB
CHLEF,SIDI ABDERRAHMANE,III
CHLEF,SIDI AKKACHA,III
CHLEF,SOBHA,III
CHLEF,TADJENA,III
CHLEF,TALASSA,III
CHLEF,TAOUGRITE,III
CHLEF,TENES,III
CHLEF,ZEBOUDJA,III
CONSTANTINE,AIN ABID,IIA
CONSTANTINE,AIN SMARA,IIA
CONSTANTINE,BEN BADIS,IIA
CONSTANTINE,BENI HAMIDENE,IIA
CONSTANTINE,CONSTANTINE,IIA
CONSTANTINE,DIDOUCHE MOURAD,IIA
CONSTANTINE,EL KHROUB,IIA
CONSTANTINE,HAMMA BOUZIANE,IIA
CONSTANTINE,IBN ZIAD,IIA
CONSTANTINE,MESAOUD BOUDJERIOU,IIA
CONSTANTINE,OULED RAHMOUN,IIA
CONSTANTINE,ZIGHOUD YOUCEF,IIA
DJELFA,AIN CHOUHADA,I
DJELFA,AIN EL IBEL,I
DJELFA,AIN FEKKA,I
DJELFA,AIN MAABED,I
DJELFA,AIN OUESSARA,I
DJELFA,AMOURA,I
DJELFA,BENHAR,I
DJELFA,BENI YAGOUB,I
DJELFA,BIRINE,I
DJELFA,BOUIRA LAHDAB,I
DJELFA,CHAREF,I
DJELFA,DAR CHIOUKH,I
DJELFA,DELDOUL,I
DJELFA,DJELFA,I
DJELFA,DOUIS,I
DJELFA,EL GUEDDID,I
DJELFA,EL IDRISSIA,I
DJELFA,EL KHEMIS,I
DJELFA,FEIDH EL BOTMA,I
DJELFA,GUERNINI,I
DJELFA,GUETTARA,I
DJELFA,HAD SAHARY,I
DJELFA,HASSI BAHBAH,I
DJELFA,HASSI EL EUCH,I
DJELFA,HASSI FDOUL,I
DJELFA,MESSAAD,I
DJELFA,MLILIHA,I
DJELFA,MOUADJEBAR,I
DJELFA,OUM LAADHAM,I
DJELFA,SED RAHAL,I
DJELFA,SELMANA,I
DJELFA,SIDI BAIZID,I
DJELFA,SIDI LAADJEL,I
DJELFA,TADMIT,I
DJELFA,ZAAFRANE,I
DJELFA,ZAKKAR,I
EL BAYADH,AIN EL ORAK,I
EL BAYADH,ARBAOUAT,I
EL BAYADH,BOUGTOUB,I
EL BAYADH,BOUSSEMGHOUN,I
EL BAYADH,BREZINA,I
EL BAYADH,CHEGUIG,I
EL BAYADH,CHELLALA,I
EL BAYADH,EL ABIODH SIDI CHEIKH,I
EL BAYADH,EL BAYADH,I
EL BAYADH,EL BNOUD,I
EL BAYADH,EL KHEITHER,I
EL BAYADH,EL MEHARA,I
EL BAYADH,GHASSOUL,I
EL BAYADH,HADJ MECHRI BOUALEM,0
EL BAYADH,KEF EL AHMAR,I
EL BAYADH,KRAKDA,I
EL BAYADH,ROGASSA,I
EL BAYADH,SIDI AMEUR,I
EL BAYADH,SIDI SLIMANE,I
EL BAYADH,SIDI TIFOUR,I
EL BAYADH,STITTEN,I
EL BAYADH,TOUSMOULINE,I
EL OUED,BAYADHA,0
EL OUED,BENI GUECHA,0
EL OUED,DJAMAA,0
EL OUED,DJEBILA,0
EL OUED,DOUAR EL MA,0
EL OUED,EL M'GHAIR,0
EL OUED,EL OGLA,0
EL OUED,EL OUED,0
EL OUED,GUEMAR,0
EL OUED,HAMRAIA,0
EL OUED,HASSANI ABDELKRIM,0
EL OUED,HASSI KHELIFA,0
EL OUED,KOUININE,0
EL OUED,M'RARA,0
EL OUED,MAGRANE,0
EL OUED,MIH OUENSA,0
EL OUED,NAKHLA,0
EL OUED,OUED EL ALENDA,0
EL OUED,OUM TIOUR,0
EL OUED,OURMES,0
EL OUED,REGUIBA,0
EL OUED,ROBBAH,0
EL OUED,SIDI AMRANE,0
EL OUED,SIDI AOUN,0
EL OUED,SIDI KHELLIL,0
EL OUED,STILL,0
EL OUED,TAGHZOUT,0
EL OUED,TALEB LARBI,0
EL OUED,TENDLA,0
EL OUED,TRIFAOU,0
EL-TARF,AIN EL ASSEL,IIA
EL-TARF,AIN KERMA,IIA
EL-TARF,ASFOUR,IIA
EL-TARF,BEN M'HIDI,IIA
EL-TARF,BERRIHANE,IIA
EL-TARF,BESBES,IIA
EL-TARF,BOUGOUS,IIA
EL-TARF,BOUHADJAR,IIA
EL-TARF,BOUTELDJA,IIA
EL-TARF,CHBAITA MOKHTAR,IIA
EL-TARF,CHEFIA,IIA
EL-TARF,CHIHANI,IIA
EL-TARF,DREAN,IIA
EL-TARF,ECHATT,IIA
EL-TARF,EL AIOUN,IIA
EL-TARF,EL KALA,IIA
EL-TARF,EL-TARF,IIA
EL-TARF,HAMMAM BENI SALAH,IIA
EL-TARF,LAC DES OISEAUX,IIA
EL-TARF,OUED ZITOUN,IIA
EL-TARF,RAML SOUK,IIA
EL-TARF,SOUAREKH,IIA
EL-TARF,ZERIZER,IIA
EL-TARF,ZITOUNA,IIA
GHARDAIA,BERRIANE,0
GHARDAIA,BOUNOURA,0
GHARDAIA,DHAYET BENDAHOUA,0
GHARDAIA,EL ATTEUF,0
GHARDAIA,EL GUERRARA,0
GHARDAIA,EL MANSOURA,0
GHARDAIA,GHARDAIA,0
GHARDAIA,GOLEA,I
GHARDAIA,HASSI EL GARAA,I
GHARDAIA,HASSI LEFHAL,I
GHARDAIA,METLILI,0
GHARDAIA,SEBSEB,0
GHARDAIA,ZELFANA,0
GUELMA,AIN BEN BEIDA,IIA
GUELMA,AIN LARBI,IIA
GUELMA,AIN MAKHLOUF,IIA
GUELMA,AIN REGGADA,IIA
GUELMA,AIN SANDEL,IIA
GUELMA,BELKHEIR,IIA
GUELMA,BENDJERRAH,IIA
GUELMA,BENI MEZLINE,IIA
GUELMA,BORDJ SABATH,IIA
GUELMA,BOUATI MAHMOUD,IIA
GUELMA,BOUCHEGOUF,IIA
GUELMA,BOUHACHANA,IIA
GUELMA,BOUHAMDANE,IIA
GUELMA,BOUMAHRA AHMED,IIA
GUELMA,DAHOUARA,IIA
GUELMA,DJEBALLAH KHEMISSI,IIA
GUELMA,EL FEDJOUDJ,IIA
GUELMA,GUELAAT BOUSBAA,IIA
GUELMA,GUELMA,IIA
GUELMA,HAMMAM DEBAGH,IIA
GUELMA,HAMMAM N'BAIL,IIA
GUELMA,HELIOPOLIS,IIA
GUELMA,HOUARI BOUMEDIENE,IIA
GUELMA,KHEZARA,IIA
GUELMA,MEDJEZ AMAR,IIA
GUELMA,MEDJEZ SFA,IIA
GUELMA,NECHMAYA,IIA
GUELMA,OUED CHEHAM,IIA
GUELMA,OUED FRAGHA,IIA
GUELMA,OUED ZENATI,IIA
GUELMA,RAS EL AGBA,IIA
GUELMA,ROKNIA,IIA
GUELMA,SELIAOUA ANNOUNA,IIA
GUELMA,TAMLOUKA,IIA
ILLIZI,BORDJ EL HAOUES,0
ILLIZI,BORDJ OMAR DRISS,0
ILLIZI,DEBDEB,0
ILLIZI,DJANET,0
ILLIZI,ILLIZI,0
ILLIZI,IN AMENAS,0
JIJEL,BORDJ TAHER,IIA
JIJEL,BOUDRIA BENI YADJIS,IIA
JIJEL,BOURAOUI BELHADEF,IIA
JIJEL,BOUSSIF OULED AKSEUR,IIA
JIJEL,CHAHNA,IIA
JIJEL,CHEBBALA MILAT,IIA
JIJEL,CHEKFA,IIA
JIJEL,DJEMAA BENI HABIBI,IIA
JIJEL,DJMILA,IIA
JIJEL,EL ANCER,IIA
JIJEL,EL AOUANA,IIA
JIJEL,EL KENNAR NOUCHFI,IIA
JIJEL,EL MILIA,IIA
JIJEL,EMIR ABDELKADER,IIA
JIJEL,ERRAGUENE,IIA
JIJEL,JIJEL,IIA
JIJEL,KAOUS,IIA
JIJEL,KIMIR OUED ADJOUL,IIA
JIJEL,OUDJANA,IIA
JIJEL,OULED RABAH,IIA
JIJEL,OULED YAHIA KHADROUCHE,IIA
JIJEL,SELMA BEN ZIADA,IIA
JIJEL,SETTARA,IIA
JIJEL,SIDI ABDELAZIZ,IIA
JIJEL,SIDI MAAROUF,IIA
JIJEL,TAHER,IIA
JIJEL,TEXENNA,IIA
JIJEL,ZIAMA MANSOURIA,IIA
KHENCHELA,AIN TOUILA,I
KHENCHELA,BABAR,I
KHENCHELA,BAGHAI,I
KHENCHELA,BOUHMAMA,I
KHENCHELA,CHELIA,I
KHENCHELA,CHERCHAR,I
KHENCHELA,DJELLAL,I
KHENCHELA,EL HAMMA,I
KHENCHELA,EL MAHMAL,I
KHENCHELA,EL OUELDJA,I
KHENCHELA,ENSIGHA,I
KHENCHELA,KAIS,I
KHENCHELA,KHENCHELA,I
KHENCHELA,KHIRANE,I
KHENCHELA,M'SARA,I
KHENCHELA,M'TOUSSA,I
KHENCHELA,OULED RECHACHE,I
KHENCHELA,REMILA,I
KHENCHELA,TAMZA,I
KHENCHELA,TAOUZIANAT,I
KHENCHELA,YABOUS,I
LAGHOUAT,AFLOU,I
LAGHOUAT,AIN MADHI,I
LAGHOUAT,AIN SIDI ALI,I
LAGHOUAT,BEIDHA,I
LAGHOUAT,BRIDA,I
LAGHOUAT,EL ASSAFIA,I
LAGHOUAT,EL GHICHA,I
LAGHOUAT,EL HAOUAITA,I
LAGHOUAT,GUELTAT SIDI SAAD,I
LAGHOUAT,HADJ MECHRI,I
LAGHOUAT,HASSI DHELAA,I
LAGHOUAT,HASSI R'MEL,I
LAGHOUAT,KHENEG,I
LAGHOUAT,KSAR EL HIRANE,I
LAGHOUAT,LAGHOUAT,I
LAGHOUAT,MEKHAREG,I
LAGHOUAT,OUED M'ZI,I
LAGHOUAT,OUED MORRA,I
LAGHOUAT,SEBGAG,I
