COMMUNE_NAME,TOTAL_INSURED_CAPITAL,POLICY_COUNT
12 - METARFA,2735750.00,2
120 - DELY BRAHIM,1153371345.00,169
121 - DJISR KSENTINA,334915050.00,95
1215 - OUED SEFIOUN,2565560.00,1
1217 - RAS EL MA,2868950.00,2
122 - DOUERA,1249385680.04,187
1223 - SIDI BEL ABBES,251700352.50,49
1224 - SIDI BRAHIM,1755040.00,1
1229 - SIDI LAHCENE,4588000.00,2
123 - DRARIA,550885200.00,112
1237 - TESSALA,225710544.36,11
124 - EL ACHOUR,522615080.00,113
1240 - AIN BOUZIANE,27490000.00,10
1242 - AIN KECHRA,5454550.00,2
1247 - AZZABA,230039980.00,4
1249 - BEN AZZOUZ,6550000.00,4
125 - EL BIAR,2453263220.00,82
1250 - BENI BACHIR,3000000.00,2
1251 - BENI OULBANE,34109480.00,14
1255 - CHERAIA,6740000.00,2
1256 - COLLO,5100000.00,2
1258 - EL GHEDIR,12465000.00,2
1259 - EL HADAIEK,32365300.00,6
126 - EL HARRACH,647108600.00,138
1260 - EL HARROUCH,299725618.10,145
1262 - EMDJEZ EDCHICH,36842330.00,23
1264 - FIL FILA,17559540.00,7
1265 - HAMADI KROUMA,14300000.00,4
1267 - KERKERA,55585000.00,21
127 - EL MADANIA,100779440.00,22
1272 - OULED HEBABA,2800000.00,1
1273 - OUM TOUB,72952750.00,4
1274 - RAMDANE DJAMEL,5194900.00,3
1275 - SALAH BOUCHAOUR,23665060.00,14
1276 - SIDI MEZGHICHE,134359910.00,82
1277 - SKIKDA,2632761636.00,90
1278 - TAMALOUS SKIKDA,13273750.00,2
128 - EL MAGHARIA,22024340.00,5
1280 - ZERDEZAS,6347620.00,3
129 - EL MARSA ALGER,4888000.00,1
1294 - OULED DRISS,3000000.00,1
13 - OULED AHMED TIMI,6025000.00,1
130 - EL MOURADIA,675947650.00,123
1300 - SEDRATA,1400000.00,1
1301 - SIDI FREDJ,6720000.00,1
1303 - TAOURA,372000.00,1
1308 - ABALESSA,2240000.00,1
1310 - IDLES,560000.00,1
1313 - IN GUEZZAM,179612000.00,70
1314 - IN SALAH,6356000.00,1
1315 - TAMANRASSET,2632862040.00,612
1316 - TAZROUK,7168000.00,2
1317 - TIN ZAOUATINE,34412000.00,12
1318 - AIN ZERGA,19680000.00,7
132 - HARAOUA,240246220.00,66
1320 - BEKKARIA,5921000.00,1
1322 - BIR EL ATER,106657720.00,75
1324 - BOUKHADRA,5470120.00,4
1325 - BOULHAF DYR,34400650.02,5
1326 - CHERIA,52783800.00,3
1327 - EL AOUINET TEBESSA,5947080.00,3
1329 - EL KOUIF,4212160.00,2
133 - HUSSEIN DEY,576891570.00,58
1332 - EL MERIDJ,11942790.00,6
1335 - EL OUENZA,408706040.00,161
1338 - HAMMAMET,13983840.00,5
134 - HYDRA,2133176050.00,148
1340 - NEGRINE,5952000.00,3
1344 - TEBESSA,956353387.00,69
1346 - AIN BOUCHEKIF,409978891.00,2
135 - KHRAISSIA,809534940.00,126
1353 - DAHMOUNI,196540524.50,3
1355 - DJILLALI BEN AMAR,868000.00,1
1357 - FRENDA,3533500.00,1
1359 - HAMADIA,4077000.00,2
136 - KOUBA,1653777810.00,392
1360 - KSAR CHELLALA,2369640.00,1
1361 - MACHRAA SFA,930000.00,1
1363 - MAHDIA,5124598.00,3
1367 - MELLAKOU,10493000.00,2
137 - LES EUCALYPTUS,1194751680.00,382
1370 - OUED LILLI,10950000.00,4
1371 - RAHOUIA,12132030.00,5
1373 - SEBAINE,1100000.00,1
138 - MAHELMA,533282010.50,111
1380 - SIDI HOSNI,2790000.00,1
1381 - SOUGUEUR,106228770.00,4
1384 - TIARET,1571340143.50,313
139 - MOHAMMADIA ALGER,1424014080.00,249
1391 - AHMER EL AIN,86441440.00,36
1392 - AIN TAGOURAIT,49361120.00,13
1394 - BOU ISMAIL,413079360.00,113
1395 - BOUHAROUN,17481600.00,8
1396 - BOURKIKA,113341140.00,53
1397 - CHAIBA,6930280.00,3
1398 - CHERCHEL,86970300.00,23
1399 - DAMOUS,39812000.00,11
140 - OUED KORICHE,28128700.00,6
1400 - DOUAOUDA,129807540.00,34
1401 - FOUKA,91753420.00,21
1402 - GOURAYA,92249700.00,35
1403 - HADJERET ENNOUS,4841000.00,1
1404 - HADJOUT,1146439140.00,495
1405 - HATTATBA,16175000.00,2
1406 - KHEMISTI TIPAZA,158425740.00,29
1407 - KOLEA,122480460.00,36
1408 - LARHAT,50503000.00,14
1409 - MENACEUR,45497500.00,20
141 - OUED SMAR,437789470.00,47
1410 - MESSELMOUN,27676000.00,7
1411 - MEURAD,72763240.00,33
1412 - NADOR,86395560.00,29
1413 - SIDI AMAR TIPAZA,20711000.00,5
1414 - SIDI GHILES,26056020.00,9
1415 - SIDI RACHED,112171320.00,42
1417 - TIPAZA,1449265850.00,461
142 - OULED CHEBEL,486132000.00,54
1422 - BORDJ EL EMIR ABDELKADER,2099010.00,1
143 - OULED FAYET,1103884611.00,204
1431 - OULED BESSEM,3010000.00,1
1437 - THENIET EL HAD,4880000.00,2
1438 - TISSEMSILT,12769940.00,7
144 - RAHMANIA,52177620.00,15
1440 - ABI YOUCEF,5448350.00,2
1441 - AGHNI GOUGHRAN,26551700.00,8
1442 - AGHRIB,83624100.00,30
1443 - AIN EL HAMMAM,25485250.00,6
1444 - AIN ZAOUIA,75910950.00,31
1446 - AIT AISSA MIMOUN,347975300.00,125
1447 - AIT BOUADOU,86103100.00,27
1448 - AIT BOUMAHDI,7895450.00,4
1449 - AIT CHAFFAA,13170000.00,5
145 - RAIS HAMIDOU,63505550.00,9
1451 - AIT MAHMOUD,3742900.00,2
1452 - AIT OUMALOU,14858200.00,4
1453 - AIT TOUDERT,10070760.00,2
1454 - AIT YAHIA,20790000.00,3
1455 - AIT YAHIA MOUSSA,6217000.00,4
1457 - AKERROU,1155000.00,2
1458 - ASSI YOUCEF,91607170.00,34
1459 - AZAZGA,904002230.00,201
146 - REGHAIA,781294069.00,270
1460 - AZEFFOUN,167359580.00,39
1461 - BENI AISSI,13654750.00,8
1462 - BENI DOUALA,103898300.00,20
1463 - BENI YENNI,9595000.00,4
1464 - BENI ZIKI,20160000.00,8
1465 - BENI ZMENZER,50851000.00,19
1466 - BOGHNI,1520975330.00,416
1467 - BOUDJIMA,84261320.00,32
1468 - BOUNOUH,118288700.00,30
1469 - BOUZGUEN,172843130.00,76
147 - ROUIBA,6196631014.00,326
1470 - DRAA BEN KHEDDA,676031759.69,160
1471 - DRAA EL MIZAN,59718820.00,24
1472 - FREHA,770599890.00,149
1473 - FRIKAT,47672500.00,14
1474 - IBOUDRAREN,5495000.00,2
1475 - IDJEUR,37592800.00,17
1476 - IFERHOUNENE,21267000.00,8
1477 - IFIGHA,83607990.00,17
1478 - IFLISSEN TIZI OUZOU,844371705.00,82
148 - SAOULA,368183380.00,56
1480 - ILLILTEN,1430800.00,1
1481 - ILOULA OUMALOU,29664250.00,11
1482 - IMSOUHAL,69344800.00,5
1483 - IRDJEN,62031850.00,18
1484 - LARBA NAIT IRATHEN,29359040.00,11
1485 - MAATKA,61961950.00,26
1486 - MAKOUDA,203831640.00,66
1487 - MECHTRASS,388355500.00,116
1488 - MEKLA,118592350.00,28
1489 - MIZRANA,138178405.00,20
149 - SIDI MHAMED ALGER,290189180.00,75
1490 - MKIRA,16500000.00,2
1491 - OUACIF,45412500.00,7
1492 - OUADHIA,225576880.00,92
1493 - OUAGUENOUN,383947350.00,124
1494 - SIDI NAAMANE TIZI OUZOU,45964020.00,25
1495 - SOUAMAA,18250000.00,4
1496 - SOUK EL TENINE,88848980.00,45
1497 - TADMAIT,107415640.00,38
1498 - TIGZIRT,1429212713.75,382
1499 - TIMIZART,127975600.00,37
150 - SIDI MOUSSA,922982170.00,121
1500 - TIRMITINE,70165290.00,20
1501 - TIZI GHENIF,24142860.00,16
1502 - TIZI NTHLETA,78972980.00,32
1503 - TIZI OUZOU,5722158451.00,1145
1504 - TIZI RACHED,1769549038.20,97
1505 - YAKOUREN,54318940.00,15
1506 - YATAFEN,8280700.00,4
1507 - ZEKRI,2520000.00,1
1509 - AIN FEZZA,5336340.00,1
151 - SOUIDANIA,453075040.00,95
1511 - AIN KEBIRA,1317960.00,1
1514 - AIN YOUCEF,3100000.00,1
152 - STAOUELI,3132413559.00,195
1525 - BENI SNOUS,496000.00,1
1526 - BENSEKRANE,5012700.00,1
1528 - CHETOUANE,7839900.00,3
153 - TASSALA EL MERDJA,53324000.00,8
1536 - GHAZAOUET,4402000.00,1
1538 - HENAYA,11904000.00,2
154 - ZERALDA,552937862.79,154
1541 - MANSOURAH TLEMCEN,64831640.00,23
1542 - MERSA BEN MHIDI,2604000.00,1
1549 - SABRA,1220160.00,1
155 - AIN BERDA,987050000.00,13
156 - ANNABA,1161275729.00,379
1560 - TLEMCEN,1216521106.00,39
157 - BERRAHEL,10265970.00,5
1571 - OULED AISSA,2500000.00,1
1577 - BESBES,5170000.00,2
1578 - CHAIBA,17453000.00,5
1593 - IN GUEZZAM,104216000.00,52
1604 - SIDI SLIMANE,1913250.00,1
1608 - DJANET,2000000.00,1
1612 - STILL,8950000.00,3
1616 - TENDLA,3673750.00,1
162 - EL BOUNI,647083680.00,224
163 - EL HADJAR,1382840040.00,13
164 - EULMA,248210890.00,70
165 - OUED EL ANEB,47723050.00,20
166 - SERAIDI,14008330.00,5
167 - SIDI AMER,72289970.00,28
169 - AIN DJASSER,6358800.00,3
17 - SALI,24851000.00,7
170 - AIN TOUTA,264410590.00,10
171 - AIN YAGOUT,1000000.00,1
172 - ARRIS,1345380540.00,566
173 - BARIKA,242421820.00,85
174 - BATNA,1827971104.15,678
175 - BENI FOUDHALA EL HAKANIA,3906000.00,1
176 - BITAM,2108000.00,1
180 - BOUZINA,49278220.00,15
181 - CHEMORA,9100000.00,1
182 - CHIR,4123000.00,4
184 - DJEZZAR,12834000.00,6
186 - EL MADHER,6014000.00,3
187 - FESDIS,15426930.00,7
188 - FOUM TOUB,137203000.00,6
189 - GHASSIRA,6045000.00,4
193 - ICHEMOUL,85870620.00,37
194 - INOUGHISSENE,14935800.00,6
195 - KIMMEL,1550000.00,1
200 - MAAFA,2010660.00,1
202 - MENAA BATNA,30107200.00,26
203 - MEROUANA,7100000.00,2
205 - NGAOUS,3596000.00,1
206 - OUED CHAABA,58845810.00,30
208 - OUED TAGA,14761580.00,10
21 - TAMEST,280000.00,1
211 - OULED FADEL,5301000.00,3
212 - OULED SELLAM,9500000.00,1
214 - OUYOUN EL ASSAFIR,9300000.00,1
216 - RAS EL AIOUN,279000.00,1
218 - SEGGANA,4278000.00,2
219 - SERIANA,11310970.00,3
221 - TAXLENT,1400000.00,1
222 - TAZOULT,40463060.00,11
223 - THENIET EL ABED,37186050.00,27
224 - TIGHANIMINE,8084800.00,4
225 - TIGHARGHAR,20425900.00,12
227 - TIMGAD,9338000.00,5
228 - TKOUT,36729730.00,16
229 - ZANA EL BEIDA,2480000.00,1
231 - BECHAR,23479000.00,6
251 - ADEKAR,34272000.00,15
252 - AIT R_ZINE,30000000.00,3
254 - AKBOU,52745660.00,18
256 - AMALOU,2065000.00,1
257 - AMIZOUR,199139050.00,68
258 - AOKAS,6414340.00,3
259 - BARBACHA,119025150.00,55
26 - TIT,7262870.00,4
260 - BEJAIA,1699964635.49,514
261 - BEJAIA,158317530.00,55
262 - BENI DJELLIL,9170000.00,6
263 - BENI KSILA BEJAIA,20560850.00,6
265 - BENI MAOUCHE,6200000.00,1
266 - BENI MELIKECH,6923449.50,2
267 - BOUDJELLIL,38305000.00,14
269 - BOUKHELIFA,93018750.00,19
272 - DARGUINA,20534250.00,8
273 - DRAA EL KAID,11050000.00,2
274 - EL KSEUR,348709665.07,135
275 - FERRAOUN,39145750.00,18
276 - IFELAIN ILMATHEN,9000000.00,4
277 - IGHIL ALI,1000000.00,1
278 - IGHRAM,3000000.00,2
279 - KENDIRA,8680000.00,4
280 - KHERRATA,6646400.00,3
281 - LEFLAYE,11378550.00,1
282 - MELBOU,23154270.00,11
283 - OUED GHIR,174834201.24,56
284 - OUZELLAGUEN,3112200.00,3
285 - SEDDOUK,11518300.00,5
286 - SEMAOUNE,29337000.00,16
287 - SIDI AICH,12868050.00,3
29 - AIN BENIAN (AIN DEFLA),57520000.00,5
290 - SOUK EL THENINE,138521320.00,61
291 - SOUK OUFELLA,8506400.00,4
292 - TALA HAMZA,45012750.00,16
294 - TAMRIDJET,12600000.00,4
295 - TAOURIRT IGHIL,3450000.00,2
296 - TASKRIOUT,247800000.00,3
297 - TAZMALT,198999500.00,66
299 - TICHI,163064000.00,41
30 - AIN BOUYAHIA,6000000.00,3
300 - TIFRA,3500000.00,1
301 - TIMZRIT,24426020.00,3
303 - TIZI NBERBER,4500000.00,2
304 - TOUDJA,56303660.00,10
305 - AIN NAGA,59528190.00,12
308 - BISKRA,487603700.00,86
313 - DJEMORAH,1000000.00,1
315 - ECH CHAIBA,6300000.00,2
316 - EL FEIDH,1705000.00,1
319 - EL HAOUCH,5200000.00,2
32 - AIN SOLTANE AIN DEFLA,3500000.00,1
325 - LIOUA,283340.00,1
326 - M_CHOUNECHE,1000000.00,1
33 - AIN TORKI,4131270.00,2
332 - OUMACHE,3500000.00,1
336 - TOLGA,12249030.00,5
339 - BEN KHELIL,11243500.00,8
34 - AIN-DEFLA,678593317.51,253
340 - BENI MERED,113470900.00,47
341 - BENI TAMOU,92724720.00,26
342 - BLIDA,2902226716.30,385
343 - BOUARFA,28933280.00,14
344 - BOUFARIK,262281040.00,71
345 - BOUGARA BLIDA,99143550.00,35
346 - BOUINAN,136448990.00,47
347 - CHEBLI,99723200.00,12
348 - CHIFFA,13913250.00,6
35 - ARIB,2050223834.00,7
351 - EL AFFROUN,13730000.00,6
352 - GUERROUAOU,106790660.00,41
353 - HAMMAM MELOUANE,560000.00,1
354 - LARBAA BLIDA,722919551.30,25
355 - MEFTAH,81294150.00,17
356 - MOUZAIA,66861550.00,11
357 - OUED DJER,7985700.00,3
358 - OUED EL ALLEUG,35727000.00,9
359 - OULED SLAMA,19080000.00,6
360 - OULED YAICH BLIDA,631838010.00,244
362 - SOUMAA BLIDA,239173420.00,67
363 - AIN TAGHROUT,27706000.00,12
364 - AIN TASSERA,20080000.00,3
365 - BELIMOUR,65631150.00,29
367 - BIR KASDALI,52972450.00,19
368 - BORDJ BOU ARRERIDJ,3974903086.00,1329
369 - BORDJ GHDIR,183666940.00,86
37 - BATHIA,3561250.00,1
370 - BORDJ ZEMOURA,16594860.00,7
372 - DJAAFRA,8910000.00,5
373 - EL ACHIR,154176560.00,40
374 - EL ANSEUR,130154860.00,39
375 - EL EUCH,42165000.00,16
376 - EL HAMMADIA,219514000.00,71
377 - EL MAIN,11100000.00,4
378 - EL MHIR,79177800.00,29
379 - GHILASSA,38884200.00,18
381 - HASNAOUA,69288070.00,26
382 - KHELIL,39555000.00,18
383 - KSOUR,12170000.00,4
384 - MANSOURA,142440010.00,47
385 - MEDJANA,70266690.00,28
386 - OULED BRAHEM,5964000.00,2
387 - OULED DAHMANE,45455300.00,20
388 - OULED SIDI BRAHIM B.B ARRERIDJ,4225000.00,2
389 - RABTA,45670000.00,15
390 - RAS EL OUED,91466030.00,31
391 - SIDI EMBAREK,108279410.00,32
393 - TAGLAIT,1000000.00,1
395 - THENIET EL ANSEUR,4790000.00,2
396 - TIXTER,13422000.00,3
397 - AGHBALOU,128654000.00,6
398 - AHL EL KSAR,9410000.00,3
399 - AIN BESSAM,38907385.62,12
4 - AOULEF,3400000.00,1
400 - AIN EL HADJAR BOUIRA,3500000.00,1
401 - AIN LALOUI,6432000.00,2
402 - AIN TURK BOUIRA,8820000.00,2
403 - AIT LAAZIZ,23585500.00,7
405 - ATH MANSOUR,3500000.00,1
406 - BECHLOUL,27516820.00,9
407 - BIR GHBALOU,7054800.00,3
408 - BORDJ OUKHRISS,5670000.00,2
41 - BORDJ EMIR KHALED,1550000.00,1
410 - BOUIRA,1684299620.00,264
412 - CHORFA BOUIRA,41788650.00,17
414 - DIRAH,32000000.00,6
415 - DJEBAHIA,3400000.00,2
416 - EL ADJIBA,22678180.00,8
417 - EL ASNAM,24559040.00,11
418 - EL HACHIMIA,15333500.00,6
42 - BOUMEDFAA,4900000.00,3
421 - EL MOKRANI,4032000.00,1
422 - GUERROUMA,4310000.00,3
424 - HAIZER,42348000.00,15
427 - LAKHDARIA,42481760.00,7
43 - BOURACHED,29760000.00,13
430 - MCHEDALLAH,51214130.00,18
432 - OUED EL BERDI,12150000.00,5
433 - OULED RACHED,4000000.00,4
434 - RAOURAOUA,4900000.00,2
436 - SAHARIDJ,3150000.00,1
437 - SOUK EL KHEMIS,21836700.00,13
438 - SOUR EL GHOZLANE,35685720.00,12
439 - TAGHZOUT BOUIRA,6650000.00,2
44 - DJELIDA,47138000.00,20
440 - TAGUEDIT,5580000.00,2
442 - AFIR,35683960.00,12
444 - BAGHLIA,262392700.00,35
445 - BEN CHOUD,34681855.00,14
446 - BENI AMRANE,17395000.00,4
447 - BORDJ MENAIEL,104626420.00,30
448 - BOUDOUAOU,217741130.00,64
449 - BOUDOUAOU EL BAHRI,136626578.50,24
450 - BOUMERDES,892513130.00,215
452 - CHABET EL AMEUR,47120450.00,27
453 - CORSO,346360650.00,21
454 - DELLYS,772738636.00,137
455 - DJINET,14267000.00,5
456 - EL KHARROUBA,543464000.00,3
457 - HAMMEDI,244645500.00,50
458 - ISSER,311273450.00,116
459 - KHEMIS EL KHECHNA,592602750.00,93
461 - LARBATACHE,1167069000.00,18
462 - NACIRIA,65963200.00,9
463 - OULED AISSA BOUMERDES,2000000.00,1
464 - OULED HADJADJ,122741010.00,29
465 - OULED MOUSSA,1041133460.00,178
466 - SI MUSTAPHA,21345730.00,10
467 - SIDI DAOUD,74355595.00,24
468 - SOUK EL HAD BOUMERDES,10895600.00,5
469 - TAOURGA,38150050.00,24
47 - EL ABBADIA,149122780.00,41
470 - THENIA,106701970.00,8
471 - TIDJELABINE,42956300.00,13
472 - TIMEZRIT,30657625.00,13
473 - ZEMMOURI,161437095.00,23
476 - BENAIRIA,1457000.00,1
478 - BENI HAOUA,1900000.00,1
479 - BENI RACHED,14431000.00,5
48 - EL AMRA,29376250.00,14
480 - BOUKADIR,170223350.00,50
481 - BOUZEGHAIA,3138420.00,1
483 - CHETTIA,5730000.00,4
484 - CHLEF,130721965.29,45
486 - EL HADJADJ,9479900.00,6
487 - EL KARIMIA,16975000.00,9
488 - EL MARSA CHLEF,3444700.00,1
49 - EL ATTAF,418406560.00,134
493 - OUED FODDA,10292700.00,4
495 - OUED SLY,48961000.00,16
496 - OULED ABBES,3294980.00,1
497 - OULED BEN ABDELKADER,1804200.00,1
498 - OULED FARES,1000000.00,1
499 - OUM DROU,1932000.00,3
5 - BORDJ BADJI MOKHTAR,1792000.00,1
500 - SENDJAS,1000000.00,1
503 - SOBHA,13000000.00,9
506 - TAOUGRITE,3000000.00,1
507 - TENES,11812380.00,3
508 - ZEBOUDJA,564000.00,1
509 - AIN ABID,349641820.00,137
510 - AIN SMARA,100698080.00,35
511 - BEN BADIS CONSTANTINE,8200000.00,4
512 - BENI HAMIDENE,3050000.00,2
513 - CONSTANTINE,5245142113.53,490
514 - DIDOUCHE MOURAD,217858580.00,90
515 - EL KHROUB,2141110564.83,431
516 - HAMMA BOUZIANE,492531520.00,243
517 - IBN ZIAD,34226600.00,11
518 - MESAOUD BOUDJERIOU,14840000.00,7
519 - OULED RAHMOUN,22542000.00,5
52 - EL MAYENE,2500000.00,1
520 - ZIGHOUD YOUCEF,118875980.00,58
525 - AIN OUESSARA,2897160.00,1
534 - DJELFA,27750440.00,4
538 - EL KHEMIS,3200000.00,1
54 - KHEMIS MILIANA,75042860.00,12
542 - HAD SAHARY,9300000.00,1
55 - MEKHATRIA,9290000.00,3
56 - MILIANA,5000000.00,1
562 - CHEGUIG,1764000.00,1
563 - CHELLALA,2333000.00,2
565 - EL BAYADH,10720000.00,3
568 - EL MEHARA,12472597.50,1
579 - BAYADHA,13640000.00,3
580 - BENI GUECHA,896000.00,1
586 - EL OUED,317647607.00,86
587 - GUEMAR,4704000.00,1
589 - HASSANI ABDELKRIM,3500000.00,1
59 - ROUINA,25388500.00,11
590 - HASSI KHELIFA,4500007.00,2
591 - KOUININE,17276000.00,3
592 - MAGRANE,2000000.00,1
593 - MIH OUENSA,4000000.00,2
595 - NAKHLA,2000000.00,1
598 - OURMES,29376014.00,5
599 - REGUIBA,2000000.00,1
6 - BOUDA,3000000.00,1
602 - SIDI AOUN,1500007.00,1
604 - STILL,11839750.00,2
606 - TALEB LARBI,2000000.00,1
610 - AIN KERMA EL TARF,2387620.00,1
611 - ASFOUR,1000000.00,1
612 - BEN MHIDI,13544730.00,6
613 - BERRIHANE,1000000.00,1
614 - BESBES EL TARF,8720000.00,4
620 - DREAN,3000000.00,1
621 - ECHATT,219793452.50,61
624 - EL-TARF,30641770.00,9
626 - LAC DES OISEAUX,3000000.00,1
63 - TIBERKANINE,740571250.00,116
630 - ZERIZER,50000000.00,1
635 - EL ATTEUF,2500000.00,1
637 - EL MANSOURA,6650000.00,4
638 - GHARDAIA,39400000.00,7
64 - ZEDDINE,8000000.00,3
642 - METLILI,25387890.00,1
646 - AIN LARBI,3500000.00,1
647 - AIN MAKHLOUF,4041600.00,2
650 - BELKHEIR,10200000.00,2
651 - BENDJERRAH,3500000.00,1
654 - BOUATI MAHMOUD,4200000.00,1
658 - BOUMAHRA AHMED,2275000.00,1
663 - GUELMA,51039350.00,22
664 - HAMMAM DEBAGH,8906650.00,6
666 - HELIOPOLIS,2275000.00,1
674 - OUED ZENATI,3923500.00,1
678 - TAMLOUKA,2345000.00,1
683 - ILLIZI,62384000.00,2
685 - BORDJ TAHER,47151000.00,12
687 - BOURAOUI BELHADEF,3606000.00,3
688 - BOUSSIF OULED AKSEUR,9131050.00,8
689 - CHAHNA,13325660.00,10
69 - AIN-TEMOUCHENT,12033800.00,4
690 - CHEBBALA MILAT,992000.00,1
691 - CHEKFA,151780740.00,81
692 - DJEMAA BENI HABIBI,5394000.00,3
693 - DJMILA,9283000.00,4
694 - EL ANCER,2040000.00,2
695 - EL AOUANA,52310560.00,13
696 - EL KENNAR NOUCHFI,131004840.00,63
697 - EL MILIA,2205000.00,1
698 - EMIR ABDELKADER,731760285.30,183
699 - ERRAGUENE,3100000.00,1
70 - BENI SAF,5145000.00,1
700 - JIJEL,254365760.00,106
701 - KAOUS,33676700.00,11
702 - KIMIR OUED ADJOUL,4262500.00,1
703 - OUDJANA,53309460.00,24
707 - SETTARA,1550000.00,1
708 - SIDI ABDELAZIZ,53063320.00,22
709 - SIDI MAAROUF,23492000.00,4
71 - BOUZEDJAR AIN TEMOUCHENT,4620000.00,1
710 - TAHER,1746507830.00,811
711 - TEXENNA,3626380.00,2
712 - ZIAMA MANSOURIA JIJEL,2157290.00,1
714 - AIN TOUILA,10226200.00,6
715 - BABAR,34180600.00,5
716 - BAGHAI,5890000.00,1
717 - BOUHMAMA,1550000.00,1
718 - CHELIA,620000.00,1
719 - CHERCHAR,8153000.00,1
721 - EL HAMMA,16621000.00,4
722 - EL MAHMAL,7223000.00,2
724 - ENSIGHA,6052830.00,3
725 - KAIS,22337020.00,5
726 - KHENCHELA,371204110.00,135
729 - MTOUSSA,5497880.00,4
732 - TAMZA,1395000.00,1
