COMMUNE_NAME,TOTAL_INSURED_CAPITAL,POLICY_COUNT
1454 - AIT YAHIA,14000000.00,1
1455 - AIT YAHIA MOUSSA,24179800.00,9
1457 - AKERROU,1155000.00,2
1458 - ASSI YOUCEF,84626850.00,31
1459 - AZAZGA,967153000.00,162
146 - REGHAIA,619813723.13,201
1460 - AZEFFOUN,248155090.00,38
1461 - BENI AISSI,7820000.00,4
1462 - BENI DOUALA,63982750.00,26
1463 - BENI YENNI,6720000.00,1
1464 - BENI ZIKI,5047750.00,5
1465 - BENI ZMENZER,46836100.00,16
1466 - BOGHNI,1361033140.00,441
1467 - BOUDJIMA,164461970.00,45
1468 - BOUNOUH,110675000.00,24
1469 - BOUZGUEN,103507520.00,46
147 - ROUIBA,6104799170.00,254
1470 - DRAA BEN KHEDDA,534429710.00,162
1471 - DRAA EL MIZAN,41727020.00,20
1472 - FREHA,797734970.00,166
1473 - FRIKAT,43260000.00,6
1474 - IBOUDRAREN,3500000.00,1
1475 - IDJEUR,33567100.00,14
1476 - IFERHOUNENE,770000.00,1
1477 - IFIGHA,53343100.00,12
1478 - IFLISSEN TIZI OUZOU,512625260.00,64
1479 - IFLISSEN TIZI OUZOU,1000000.00,1
148 - SAOULA,488860560.00,68
1480 - ILLILTEN,7735000.00,2
1481 - ILOULA OUMALOU,25184100.00,15
1482 - IMSOUHAL,1820000.00,2
1483 - IRDJEN,50113170.00,18
1484 - LARBA NAIT IRATHEN,33082640.00,16
1485 - MAATKA,134490150.00,48
1486 - MAKOUDA,161855690.00,34
1487 - MECHTRASS,398293090.00,118
1488 - MEKLA,53082830.00,21
1489 - MIZRANA,84451270.00,24
149 - SIDI MHAMED ALGER,301965500.00,65
1491 - OUACIF,12994850.00,6
1492 - OUADHIA,217403290.00,86
1493 - OUAGUENOUN,254733080.00,92
1494 - SIDI NAAMANE TIZI OUZOU,64464140.00,23
1495 - SOUAMAA,67078750.00,8
1496 - SOUK EL TENINE,64810950.00,29
1497 - TADMAIT,161577240.00,48
1498 - TIGZIRT,1672843931.00,303
1499 - TIMIZART,123166064.58,31
150 - SIDI MOUSSA,670787160.00,131
1500 - TIRMITINE,20026090.00,8
1501 - TIZI GHENIF,12168400.00,5
1502 - TIZI NTHLETA,86986580.00,30
1503 - TIZI OUZOU,4106478486.60,1081
1504 - TIZI RACHED,1290512950.00,93
1505 - YAKOUREN,67086000.00,21
1506 - YATAFEN,1000000.00,1
151 - SOUIDANIA,234880103.20,58
1511 - AIN KEBIRA,2994980.00,2
1514 - AIN YOUCEF,3100000.00,1
152 - STAOUELI,552147311.80,162
1522 - BENI MESTER,713000.00,1
1528 - CHETOUANE,4316480.00,2
1529 - DAR YAGHMOURASSENE,608220.00,1
153 - TASSALA EL MERDJA,56250080.00,11
1535 - FELLAOUCENE,3844000.00,1
1537 - HAMMAM BOUGHRARA,1000000.00,1
1538 - HENAYA,5270000.00,1
154 - ZERALDA,629724645.50,172
1540 - MAGHNIA,8463000.00,1
1541 - MANSOURAH TLEMCEN,38884170.00,17
1542 - MERSA BEN MHIDI,1452660.00,1
1546 - OULED MIMOUN,2915860.00,1
1548 - REMCHI,1586270.00,1
155 - AIN BERDA,61575010.00,7
156 - ANNABA,1165787550.00,402
1560 - TLEMCEN,1242781796.08,63
157 - BERRAHEL,61441080.00,8
1571 - OULED AISSA,2000000.00,2
1574 - OULED DJELLAL,3255000.00,1
1577 - BESBES,2149280.00,1
1578 - CHAIBA,3653000.00,2
1593 - IN GUEZZAM,44688000.00,5
1594 - TIN ZAOUATINE,840000.00,1
1608 - DJANET,2000000.00,1
162 - EL BOUNI,1066961647.50,402
163 - EL HADJAR,206252130.00,12
164 - EULMA,44999600.00,19
165 - OUED EL ANEB,10800000.00,6
166 - SERAIDI,16677690.00,6
167 - SIDI AMER,73212670.00,27
169 - AIN DJASSER,4929310.00,3
170 - AIN TOUTA,252436000.00,5
171 - AIN YAGOUT,10850000.00,2
172 - ARRIS,723510730.00,314
173 - BARIKA,297375540.00,51
174 - BATNA,1726117344.54,603
177 - BOULEHILET,2104900.00,1
180 - BOUZINA,69025220.00,24
181 - CHEMORA,3628860.00,3
182 - CHIR,16492000.00,3
183 - DJERMA,1116000.00,1
184 - DJEZZAR,8029000.00,4
186 - EL MADHER,10202720.00,3
187 - FESDIS,41285411.02,14
188 - FOUM TOUB,13790660.00,8
189 - GHASSIRA,12276000.00,6
193 - ICHEMOUL,112108310.00,39
194 - INOUGHISSENE,23837450.00,12
195 - KIMMEL,5270000.00,3
2 - AKABILI,3000000.00,1
20 - TAMENTIT,2000000.00,1
202 - MENAA BATNA,35898000.00,24
203 - MEROUANA,9233730.00,3
206 - OUED CHAABA,30370060.00,11
208 - OUED TAGA,51030340.00,24
211 - OULED FADEL,5394000.00,2
216 - RAS EL AIOUN,2976000.00,1
219 - SERIANA,12092970.00,6
222 - TAZOULT,31684170.00,6
223 - THENIET EL ABED,83829890.00,29
224 - TIGHANIMINE,8773000.00,8
225 - TIGHARGHAR,16474950.00,15
228 - TKOUT,35402000.00,33
229 - ZANA EL BEIDA,1550000.00,1
231 - BECHAR,12000000.00,2
24 - TIMOKTEN,1000000.00,1
248 - TAGHIT,3080000.00,1
251 - ADEKAR,44320000.00,12
252 - AIT R_ZINE,2000000.00,1
253 - AIT SMAIL,4936400.00,1
254 - AKBOU,416903260.00,38
256 - AMALOU,10675000.00,2
257 - AMIZOUR,196693290.00,83
258 - AOKAS,11890900.00,5
259 - BARBACHA,95510400.00,41
260 - BEJAIA,1327136012.33,430
261 - BEJAIA,86625960.00,27
262 - BENI DJELLIL,6000000.00,6
263 - BENI KSILA BEJAIA,54932000.00,5
265 - BENI MAOUCHE,3403150.00,2
267 - BOUDJELLIL,9350000.00,3
268 - BOUHAMZA,1400000.00,1
269 - BOUKHELIFA,22753310.00,7
270 - CHELATA,6405000.00,3
271 - CHEMINI,7001380.00,4
272 - DARGUINA,40938600.00,12
274 - EL KSEUR,319027433.46,154
275 - FERRAOUN,20589500.00,13
276 - IFELAIN ILMATHEN,42420000.00,6
278 - IGHRAM,10540000.00,3
279 - KENDIRA,6685000.00,5
280 - KHERRATA,10500000.00,3
282 - MELBOU,62764200.00,18
283 - OUED GHIR,147517688.75,48
284 - OUZELLAGUEN,96772900.00,27
285 - SEDDOUK,6468000.00,3
286 - SEMAOUNE,23485500.00,17
287 - SIDI AICH,37364800.00,9
288 - SIDI AYAD,2000000.00,2
29 - AIN BENIAN (AIN DEFLA),88780000.00,7
290 - SOUK EL THENINE,246923090.00,85
291 - SOUK OUFELLA,3500000.00,1
292 - TALA HAMZA,101583100.00,20
294 - TAMRIDJET,3045000.00,1
295 - TAOURIRT IGHIL,7000000.00,6
296 - TASKRIOUT,15930670.00,4
297 - TAZMALT,235355270.00,83
298 - TIBANE,4000000.00,1
299 - TICHI,203831220.00,49
30 - AIN BOUYAHIA,7000000.00,2
300 - TIFRA,55965550.00,3
301 - TIMZRIT,6030000.00,3
303 - TIZI NBERBER,682000.00,1
304 - TOUDJA,9391050.00,9
305 - AIN NAGA,47224670.00,15
308 - BISKRA,970701410.00,71
32 - AIN SOLTANE AIN DEFLA,24795000.00,4
326 - M_CHOUNECHE,9300000.00,1
33 - AIN TORKI,9836000.00,2
336 - TOLGA,5600000.00,2
337 - ZERIBET EL OUED,2732000.00,2
338 - AIN ROMANA,2735850.00,1
339 - BEN KHELIL,32909000.00,18
34 - AIN-DEFLA,724246751.78,269
340 - BENI MERED,149843580.00,51
341 - BENI TAMOU,181393960.00,41
342 - BLIDA,1851698500.00,498
343 - BOUARFA,28359790.00,10
344 - BOUFARIK,586959160.00,190
345 - BOUGARA BLIDA,95526550.00,33
346 - BOUINAN,195735608.50,78
347 - CHEBLI,182170700.00,30
348 - CHIFFA,19345020.00,7
349 - CHREA,3800000.00,1
35 - ARIB,16039550.00,7
352 - GUERROUAOU,203708348.00,59
354 - LARBAA BLIDA,142547842.50,26
355 - MEFTAH,43404810.00,16
356 - MOUZAIA,27122000.00,7
358 - OUED EL ALLEUG,9551000.00,8
359 - OULED SLAMA,29666250.00,6
360 - OULED YAICH BLIDA,699231250.00,265
362 - SOUMAA BLIDA,398572840.00,152
363 - AIN TAGHROUT,21591000.00,8
364 - AIN TASSERA,4122500.00,2
365 - BELIMOUR,23100000.00,5
366 - BENDAOUD,2000000.00,1
367 - BIR KASDALI,13048160.00,7
368 - BORDJ BOU ARRERIDJ,2561919440.00,883
369 - BORDJ GHDIR,129693670.00,54
37 - BATHIA,7210700.00,1
370 - BORDJ ZEMOURA,1457000.00,1
372 - DJAAFRA,2100000.00,1
373 - EL ACHIR,86882930.00,20
374 - EL ANSEUR,68761970.00,21
375 - EL EUCH,6488000.00,2
376 - EL HAMMADIA,122237480.00,41
377 - EL MAIN,1860000.00,1
378 - EL MHIR,40550000.00,21
379 - GHILASSA,29963650.00,11
381 - HASNAOUA,40200000.00,13
382 - KHELIL,18102000.00,9
383 - KSOUR,3100000.00,1
384 - MANSOURA,124420000.00,20
385 - MEDJANA,42329090.00,21
388 - OULED SIDI BRAHIM B.B ARRERIDJ,4200000.00,1
389 - RABTA,19150000.00,10
390 - RAS EL OUED,10405000.00,4
391 - SIDI EMBAREK,81358090.00,27
393 - TAGLAIT,3077000.00,2
397 - AGHBALOU,88852000.00,15
398 - AHL EL KSAR,12360000.00,4
399 - AIN BESSAM,35622840.00,9
400 - AIN EL HADJAR BOUIRA,10780000.00,3
402 - AIN TURK BOUIRA,10508000.00,3
403 - AIT LAAZIZ,10675000.00,4
404 - AOMAR,5139000.00,4
406 - BECHLOUL,4216000.00,2
407 - BIR GHBALOU,6669750.00,2
408 - BORDJ OUKHRISS,5600000.00,2
41 - BORDJ EMIR KHALED,20265000.00,1
410 - BOUIRA,466735040.00,220
411 - BOUKRAM,840000.00,1
412 - CHORFA BOUIRA,53885000.00,16
413 - DECHMIA,2131250.00,1
414 - DIRAH,51540000.00,7
416 - EL ADJIBA,8900000.00,3
417 - EL ASNAM,8348500.00,3
418 - EL HACHIMIA,15008220.00,10
42 - BOUMEDFAA,2145000.00,1
423 - HADJERA ZERGA,5081250.00,2
424 - HAIZER,26549400.00,7
425 - HANIF,3150000.00,1
426 - KADIRIA,1860000.00,1
427 - LAKHDARIA,13545000.00,5
43 - BOURACHED,20620000.00,8
430 - MCHEDALLAH,23416700.00,9
432 - OUED EL BERDI,3800000.00,2
433 - OULED RACHED,21000000.00,3
436 - SAHARIDJ,1336410.00,1
437 - SOUK EL KHEMIS,11829300.00,8
438 - SOUR EL GHOZLANE,33105500.00,7
439 - TAGHZOUT BOUIRA,30515490.00,7
44 - DJELIDA,40770000.00,15
440 - TAGUEDIT,8525000.00,2
442 - AFIR,19040000.00,9
444 - BAGHLIA,290187650.00,26
445 - BEN CHOUD,17950000.00,11
446 - BENI AMRANE,3506650.00,4
447 - BORDJ MENAIEL,65875160.00,20
448 - BOUDOUAOU,290906230.00,69
449 - BOUDOUAOU EL BAHRI,96193940.00,15
45 - DJEMAA OULED CHEIKH,1000000.00,1
450 - BOUMERDES,1913644295.00,233
451 - BOUZEGZA KEDDARA,5570000.00,1
452 - CHABET EL AMEUR,27778500.00,17
453 - CORSO,118233670.00,23
454 - DELLYS,440135806.00,112
455 - DJINET,15058000.00,5
456 - EL KHARROUBA,594415000.00,7
457 - HAMMEDI,262183200.50,32
458 - ISSER,280651930.00,96
459 - KHEMIS EL KHECHNA,1529776650.00,96
46 - DJENDEL,5650000.00,2
460 - LAGHATA,4844000.00,2
461 - LARBATACHE,1146984400.00,24
462 - NACIRIA,76019350.00,10
463 - OULED AISSA BOUMERDES,4075000.00,2
464 - OULED HADJADJ,120436190.00,26
465 - OULED MOUSSA,1543674500.00,220
466 - SI MUSTAPHA,8474000.00,5
467 - SIDI DAOUD,50051056.00,22
468 - SOUK EL HAD BOUMERDES,6839600.00,3
469 - TAOURGA,28150050.00,24
47 - EL ABBADIA,124005460.00,48
470 - THENIA,66987930.00,11
471 - TIDJELABINE,3198037927.00,17
472 - TIMEZRIT,33620000.00,18
473 - ZEMMOURI,124108340.00,14
475 - AIN MERANE,14041120.00,5
479 - BENI RACHED,1128000.00,1
48 - EL AMRA,34006120.00,12
480 - BOUKADIR,192455430.00,71
483 - CHETTIA,1000000.00,1
484 - CHLEF,120435030.00,52
485 - DAHRA,1499100.00,1
486 - EL HADJADJ,3125500.00,2
487 - EL KARIMIA,9557900.00,6
488 - EL MARSA CHLEF,53900000.00,1
49 - EL ATTAF,430533130.00,156
493 - OUED FODDA,3299000.00,2
494 - OUED GHOUSSINE,19570000.00,5
495 - OUED SLY,55650000.00,21
496 - OULED ABBES,2500000.00,1
497 - OULED BEN ABDELKADER,4000000.00,3
498 - OULED FARES,8638860.00,2
5 - BORDJ BADJI MOKHTAR,1100000.00,1
500 - SENDJAS,624000.00,1
503 - SOBHA,9000000.00,3
506 - TAOUGRITE,1000000.00,1
507 - TENES,2884200.00,1
508 - ZEBOUDJA,2209000.00,1
509 - AIN ABID,308884848.00,117
510 - AIN SMARA,92561170.00,21
511 - BEN BADIS CONSTANTINE,19710000.00,5
512 - BENI HAMIDENE,23759110.00,12
513 - CONSTANTINE,5661159782.52,688
514 - DIDOUCHE MOURAD,526361990.00,105
515 - EL KHROUB,1721313520.45,440
516 - HAMMA BOUZIANE,686434643.00,248
517 - IBN ZIAD,43235000.00,14
518 - MESAOUD BOUDJERIOU,7800000.00,2
519 - OULED RAHMOUN,26200000.00,6
52 - EL MAYENE,6500000.00,2
520 - ZIGHOUD YOUCEF,94633580.00,60
527 - BENHAR,44000000.00,1
53 - HAMMAM RIGHA,1560000.00,1
534 - DJELFA,36928000.00,3
537 - EL IDRISSIA,1687950.00,1
54 - KHEMIS MILIANA,60884800.00,4
55 - MEKHATRIA,5000000.00,2
56 - MILIANA,10612500.00,1
565 - EL BAYADH,15756000.00,3
579 - BAYADHA,17100000.00,7
584 - EL MGHAIR,3000000.00,1
586 - EL OUED,460344687.00,102
588 - HAMRAIA,5880000.00,1
589 - HASSANI ABDELKRIM,9500000.00,2
59 - ROUINA,49726900.00,13
590 - HASSI KHELIFA,5000000.00,2
591 - KOUININE,10304000.00,2
593 - MIH OUENSA,108000000.00,4
595 - NAKHLA,17908000.00,3
599 - REGUIBA,19000000.00,4
600 - ROBBAH,1500000.00,1
608 - TRIFAOU,1000000.00,1
61 - TACHTA ZEGARRA,4500000.00,1
610 - AIN KERMA EL TARF,2000000.00,2
612 - BEN MHIDI,25388000.00,6
614 - BESBES EL TARF,1640833620.49,1
616 - BOUTELDJA,2310000.00,1
620 - DREAN,2419240.00,1
621 - ECHATT,272979370.00,65
623 - EL KALA,1653768000.00,2
624 - EL-TARF,14665000.00,5
63 - TIBERKANINE,97473250.00,17
632 - BERRIANE,532280.00,1
635 - EL ATTEUF,672000.00,1
638 - GHARDAIA,90816000.00,33
64 - ZEDDINE,18000000.00,7
650 - BELKHEIR,7000000.00,1
66 - AIN EL ARBAA,1750000.00,1
662 - GUELAAT BOUSBAA,6545000.00,1
663 - GUELMA,60045160.00,4
671 - NECHMAYA,4528350.00,2
674 - OUED ZENATI,3500000.00,1
685 - BORDJ TAHER,5088650.00,3
687 - BOURAOUI BELHADEF,10540000.00,6
688 - BOUSSIF OULED AKSEUR,4068440.00,4
689 - CHAHNA,16213000.00,7
69 - AIN-TEMOUCHENT,16093350.00,7
691 - CHEKFA,165829600.00,68
692 - DJEMAA BENI HABIBI,7192000.00,4
694 - EL ANCER,8933050.00,4
695 - EL AOUANA,14724000.00,4
696 - EL KENNAR NOUCHFI,145699880.00,72
697 - EL MILIA,3235470.00,2
698 - EMIR ABDELKADER,395205670.00,149
70 - BENI SAF,5145000.00,1
700 - JIJEL,238454360.00,90
701 - KAOUS,38543540.00,11
702 - KIMIR OUED ADJOUL,5022000.00,2
703 - OUDJANA,50507150.00,24
708 - SIDI ABDELAZIZ,45771810.00,26
709 - SIDI MAAROUF,4801280.00,2
71 - BOUZEDJAR AIN TEMOUCHENT,5356400.00,1
710 - TAHER,1628830490.00,797
711 - TEXENNA,1369270.00,1
712 - ZIAMA MANSOURIA JIJEL,19000000.00,7
714 - AIN TOUILA,1636880.00,1
715 - BABAR,6000000.00,1
716 - BAGHAI,50840000.00,2
717 - BOUHMAMA,3658000.00,2
718 - CHELIA,1240000.00,1
719 - CHERCHAR,8153000.00,1
721 - EL HAMMA,14462120.00,6
722 - EL MAHMAL,9407570.00,4
724 - ENSIGHA,6686700.00,3
726 - KHENCHELA,348663340.00,120
729 - MTOUSSA,7433480.00,3
732 - TAMZA,11887260.00,6
734 - YABOUS,2635000.00,3
735 - AFLOU,6505660.00,4
736 - AIN MADHI,6200000.00,3
740 - EL ASSAFIA,2480000.00,1
745 - HASSI DHELAA,8959000.00,5
746 - HASSI RMEL,17212440.00,11
747 - KHENEG,7440000.00,3
748 - KSAR EL HIRANE,27373000.00,13
749 - LAGHOUAT,449603545.35,214
755 - SIDI MAKHLOUF,20286400.00,9
756 - TADJEMOUT,7360330.00,4
759 - AIN FARES MASCARA,20679170.00,9
76 - EL AMRIA,7000000.00,1
760 - AIN FEKAN,2900000.00,1
763 - ALAIMIA,1000000.00,1
766 - BOUHANIFIA,16370480.00,8
769 - EL BORDJ,10057600.00,2
773 - EL HACHEM,11160000.00,2
774 - EL KEURT,2100000.00,2
775 - EL MAMOUNIA,2460500.00,1
778 - FROHA,8103200.00,4
78 - EL MALAH,23137940.00,4
780 - GHRISS,65180000.00,3
782 - HACINE,5785500.00,2
785 - MAOUSSA,10465000.00,3
786 - MASCARA,2712319147.37,922
789 - MOHAMMADIA MASCARA,11804603.13,4
792 - OUED EL ABTAL,620000.00,1
793 - OUED TAGHIA,1550000.00,1
80 - HAMMAM BOUHADJAR,196429493.00,3
800 - SIDI KADA,6125000.00,2
801 - SIG,36854300.00,6
802 - TIGHENNIF,50000000.00,1
803 - TIZI,60253850.00,20
804 - ZAHANA,7037000.00,3
806 - AIN BOUCIF,3100000.00,1
